employee_id,first_name,last_name,email,title,level_code,level_band,practice_group,sub_team,office_city,country,region,office_type,work_model,hire_date,tenure_years,joined_after_relaunch,manager_id,manager_name,dms_role,cohort_key
VL-1169,Marcel,Obi,marcel.obi@vandelay.example,Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Office,2022-07-24,4.1,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1170,Kenji,Achebe,kenji.achebe@vandelay.example,Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Hybrid,2023-09-14,3,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1171,Sienna,Okonkwo,sienna.okonkwo@vandelay.example,Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Office,2013-06-03,13.3,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1172,Owen,Nwosu,owen.nwosu@vandelay.example,Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Hybrid,2020-10-22,5.9,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1173,Miles,Adeyemi,miles.adeyemi@vandelay.example,Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,San Francisco,United States,Americas - US,Regional office,Remote,2013-04-10,13.4,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1174,Arjun,Okafor,arjun.okafor@vandelay.example,Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Hybrid,2020-03-14,6.5,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1175,Kavya,Alvarado,kavya.alvarado@vandelay.example,Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Hybrid,2019-03-01,7.5,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1176,Tariq,Bergstrom,tariq.bergstrom@vandelay.example,Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Hybrid,2025-02-14,1.6,Yes,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1218,Kenji,Diallo,kenji.diallo@vandelay.example,Executive Assistant,EA,Executive Assistant,Commercial & Transactions,Executive Support,New York,United States,Americas - US,HQ,Remote,2025-08-14,1.1,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Executive Assistant
VL-1229,Oliver,Okafor,oliver.okafor@vandelay.example,Executive Assistant,EA,Executive Assistant,Commercial & Transactions,Executive Support,New York,United States,Americas - US,HQ,Office,2025-04-11,1.4,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Executive Assistant
VL-1230,Daniel,Carvalho,daniel.carvalho@vandelay.example,Executive Assistant,EA,Executive Assistant,Commercial & Transactions,Executive Support,New York,United States,Americas - US,HQ,Hybrid,2017-03-26,9.5,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Executive Assistant
VL-1003,Ines,Duarte,ines.duarte@vandelay.example,"Deputy General Counsel, Litigation & Disputes",L2,Lawyer - Leadership,Litigation & Disputes,,New York,United States,Americas - US,HQ,Office,2012-05-10,14.3,No,VL-1001,Simon Rasmussen,Standard,Litigation & Disputes | Lawyer - Leadership
VL-1041,Reuben,Okonkwo,reuben.okonkwo@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,New York,United States,Americas - US,HQ,Hybrid,2025-06-02,1.3,Yes,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1042,Ezra,Molnar,ezra.molnar@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,New York,United States,Americas - US,HQ,Office,2019-01-28,7.6,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1043,Idris,Kessler,idris.kessler@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Litigation & Disputes,,New York,United States,Americas - US,HQ,Remote,2010-12-01,15.8,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Senior
VL-1044,Imani,Ndlovu,imani.ndlovu@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,New York,United States,Americas - US,HQ,Hybrid,2020-05-25,6.3,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1045,Renata,Beaumont,renata.beaumont@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Litigation & Disputes,,Houston,United States,Americas - US,Regional office,Office,2019-09-03,7,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Senior
VL-1046,Renata,Aguilar,renata.aguilar@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,Chicago,United States,Americas - US,Regional office,Remote,2024-10-06,1.9,Yes,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1047,Caleb,Espinoza,caleb.espinoza@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,New York,United States,Americas - US,HQ,Office,2025-07-16,1.1,Yes,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1048,Emmett,Gallagher,emmett.gallagher@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,New York,United States,Americas - US,HQ,Office,2019-05-28,7.3,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1049,Sienna,Mensah,sienna.mensah@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,New York,United States,Americas - US,HQ,Office,2024-01-25,2.6,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1050,Omar,Salazar,omar.salazar@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Litigation & Disputes,,New York,United States,Americas - US,HQ,Hybrid,2023-09-05,3,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Senior
VL-1051,Iris,Aguilar,iris.aguilar@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,San Francisco,United States,Americas - US,Regional office,Remote,2018-07-04,8.2,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1052,Tamar,Chowdhury,tamar.chowdhury@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Litigation & Disputes,,New York,United States,Americas - US,HQ,Office,2023-11-14,2.8,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Senior
VL-1053,Ines,Sinclair,ines.sinclair@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,New York,United States,Americas - US,HQ,Hybrid,2022-04-05,4.4,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1054,Felix,Yamamoto,felix.yamamoto@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,"Washington, DC",United States,Americas - US,Regional office,Office,2025-12-23,0.7,Yes,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1055,Omar,Ferreira,omar.ferreira@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,San Francisco,United States,Americas - US,Regional office,Hybrid,2009-01-01,17.7,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1056,Tessa,Voss,tessa.voss@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,San Francisco,United States,Americas - US,Regional office,Hybrid,2015-01-15,11.6,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1057,Mei,Whitfield,mei.whitfield@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,Chicago,United States,Americas - US,Regional office,Hybrid,2015-01-28,11.6,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1058,Lina,Zielinski,lina.zielinski@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,New York,United States,Americas - US,HQ,Remote,2024-11-22,1.8,Yes,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1059,Malik,Obi,malik.obi@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,New York,United States,Americas - US,HQ,Hybrid,2026-01-26,0.6,Yes,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1060,Maya,Abubakar,maya.abubakar@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Litigation & Disputes,,Houston,United States,Americas - US,Regional office,Hybrid,2018-10-02,7.9,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Senior
VL-1061,Felix,Anand,felix.anand@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Litigation & Disputes,,New York,United States,Americas - US,HQ,Hybrid,2023-10-13,2.9,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Senior
VL-1062,Daniel,Wozniak,daniel.wozniak@vandelay.example,Counsel,L4,Lawyer - Mid,Litigation & Disputes,,"Washington, DC",United States,Americas - US,Regional office,Remote,2018-11-04,7.8,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Mid
VL-1063,Miles,Lucero,miles.lucero@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,New York,United States,Americas - US,HQ,Hybrid,2012-09-01,14,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1064,Marcus,Sorensen,marcus.sorensen@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,New York,United States,Americas - US,HQ,Hybrid,2025-09-27,1,Yes,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1065,Ezra,Kessler,ezra.kessler@vandelay.example,Attorney,L5,Lawyer - Junior,Litigation & Disputes,,Houston,United States,Americas - US,Regional office,Hybrid,2026-02-22,0.5,Yes,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Lawyer - Junior
VL-1136,Ada,Paredes,ada.paredes@vandelay.example,Paralegal Manager,P1,Paraprofessional - Lead,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Hybrid,2008-12-24,17.7,No,VL-1003,Ines Duarte,Standard,Litigation & Disputes | Paraprofessional - Lead
VL-1137,Theo,Mireille,theo.mireille@vandelay.example,Senior Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Remote,2025-12-22,0.7,Yes,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1138,Mei,Nwosu,mei.nwosu@vandelay.example,Senior Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,Chicago,United States,Americas - US,Regional office,Office,2026-04-26,0.4,Yes,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1139,Lorenzo,Nwosu,lorenzo.nwosu@vandelay.example,Senior Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Hybrid,2015-12-20,10.7,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1140,Nadia,Aguilar,nadia.aguilar@vandelay.example,Senior Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,Atlanta,United States,Americas - US,Regional office,Hybrid,2017-01-10,9.7,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1141,Sofia,Ekwueme,sofia.ekwueme@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,Chicago,United States,Americas - US,Regional office,Remote,2023-11-18,2.8,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1142,Alina,Fontaine,alina.fontaine@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Hybrid,2003-01-20,23.6,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1143,Ruth,Okoro,ruth.okoro@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Office,2025-07-17,1.1,Yes,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1144,Ada,Obi,ada.obi@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,Houston,United States,Americas - US,Regional office,Hybrid,2008-05-07,18.3,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1145,Esme,Ramanathan,esme.ramanathan@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Office,2024-02-24,2.5,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1146,Victor,Whitfield,victor.whitfield@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Remote,2025-01-19,1.6,Yes,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1147,Idris,Ferreira,idris.ferreira@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Hybrid,2021-09-24,5,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1148,Nathan,Sorensen,nathan.sorensen@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Remote,2017-11-25,8.8,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1149,Reuben,Mireille,reuben.mireille@vandelay.example,Paralegal,P2,Paraprofessional,Litigation & Disputes,Paralegals,New York,United States,Americas - US,HQ,Hybrid,2023-09-03,3,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1179,Theo,Okoro,theo.okoro@vandelay.example,Litigation Support Specialist,P2,Paraprofessional,Litigation & Disputes,Litigation Support & eDiscovery,New York,United States,Americas - US,HQ,Hybrid,2023-05-20,3.3,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1180,Ada,Bhatt,ada.bhatt@vandelay.example,Litigation Support Specialist,P2,Paraprofessional,Litigation & Disputes,Litigation Support & eDiscovery,New York,United States,Americas - US,HQ,Hybrid,2025-01-19,1.6,Yes,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1181,Amara,Okafor,amara.okafor@vandelay.example,Litigation Support Specialist,P2,Paraprofessional,Litigation & Disputes,Litigation Support & eDiscovery,New York,United States,Americas - US,HQ,Hybrid,2011-08-28,15,No,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
VL-1182,Alina,Kingsley,alina.kingsley@vandelay.example,Litigation Support Specialist,P2,Paraprofessional,Litigation & Disputes,Litigation Support & eDiscovery,Houston,United States,Americas - US,Regional office,Remote,2026-04-07,0.4,Yes,VL-1136,Ada Paredes,Standard,Litigation & Disputes | Paraprofessional
