license_id,user_principal_name,display_name,employee_id,license_type,status,provisioned_date,last_login_date,days_since_last_login,mfa_enrolled,mobile_enrolled,notes
ARC-LIC-10055,oliver.okafor@vandelay.example,Oliver Okafor,VL-1229,Standard,Active,2025-04-11,2026-09-04,4,Yes,Yes,
ARC-LIC-10222,felix.sandoval@vandelay.example,Felix Sandoval,VL-1208,Standard,Active,2025-11-10,2026-08-31,8,Yes,No,
ARC-LIC-10011,daniel.fontaine@vandelay.example,Daniel Fontaine,VL-1016,Standard,Active,2025-12-05,2026-08-16,23,Yes,Yes,
ARC-LIC-10014,miles.castillo@vandelay.example,Miles Castillo,VL-1019,Standard,Active,2018-03-01,2026-09-02,6,Yes,No,
ARC-LIC-10097,theo.okoro@vandelay.example,Theo Okoro,VL-1179,Standard,Active,2023-05-20,2026-09-07,1,Yes,Yes,
ARC-LIC-10189,imani.ferrante@vandelay.example,Imani Ferrante,VL-1162,Standard,Active,2025-01-03,2026-09-08,0,Yes,Yes,
ARC-LIC-10213,noa.moreau@vandelay.example,Noa Moreau,VL-1199,Standard,Active,2026-07-05,2026-09-02,6,Yes,Yes,
ARC-LIC-10103,reuben.rutherford@vandelay.example,Reuben Rutherford,VL-1219,Standard,Active,2024-02-08,2026-09-04,4,Yes,Yes,
ARC-LIC-10063,renata.aguilar@vandelay.example,Renata Aguilar,VL-1046,Standard,Active,2024-10-06,2026-09-05,3,Yes,Yes,
ARC-LIC-10104,simon.anand@vandelay.example,Simon Anand,VL-1227,Standard,Active,2018-03-01,2026-09-06,2,Yes,No,
ARC-LIC-10152,ines.okonkwo@vandelay.example,Ines Okonkwo,VL-1098,Standard,Active,2020-09-23,2026-09-04,4,Yes,Yes,
ARC-LIC-10124,hana.sorensen@vandelay.example,Hana Sorensen,VL-1160,Standard,Active,2018-03-01,2026-09-05,3,Yes,Yes,
ARC-LIC-10157,dalia.carvalho@vandelay.example,Dalia Carvalho,VL-1103,Standard,Active,2018-03-01,2026-09-06,2,Yes,No,
ARC-LIC-10100,alina.kingsley@vandelay.example,Alina Kingsley,VL-1182,Standard,Active,2026-04-07,2026-09-05,3,Yes,No,
ARC-LIC-10193,greta.yamamoto@vandelay.example,Greta Yamamoto,VL-1127,Standard,Active,2019-04-24,2026-08-10,29,Yes,Yes,
ARC-LIC-10108,hui.tan@vandelay.example,Hui Tan,VL-1067,Standard,Active,2025-09-23,2026-09-07,1,Yes,Yes,
ARC-LIC-10135,wren.sandoval@vandelay.example,Wren Sandoval,VL-1086,Standard,Active,2018-03-01,2026-07-09,61,Yes,No,
ARC-LIC-10154,kavya.nordin@vandelay.example,Kavya Nordin,VL-1100,Standard,Active,2018-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10191,della.moreau@vandelay.example,Della Moreau,VL-1224,Standard,Active,2020-11-11,2026-09-05,3,Yes,No,
ARC-LIC-10236,ansel.brightman@vandelay.example,Ansel Brightman,VL-0808,Standard,Active,2020-03-20,2025-03-21,536,Yes,No,
ARC-LIC-10226,freya.halvorsen@vandelay.example,Freya Halvorsen,VL-1212,Standard,Active,2026-05-28,2026-08-06,33,Yes,No,
ARC-LIC-10026,henry.tremblay@vandelay.example,Henry Tremblay,VL-1031,Standard,Active,2018-03-01,2026-06-26,74,Yes,No,
ARC-LIC-10180,oliver.karlsson@vandelay.example,Oliver Karlsson,VL-1119,Standard,Active,2026-01-28,2026-07-28,42,Yes,Yes,
ARC-LIC-10147,leila.reyes@vandelay.example,Leila Reyes,VL-1006,Standard,Active,2020-03-15,2026-09-08,0,Yes,Yes,
ARC-LIC-10134,bastian.blackwood@vandelay.example,Bastian Blackwood,VL-1085,Standard,Active,2025-10-23,2026-08-17,22,Yes,Yes,
ARC-LIC-10085,mei.nwosu@vandelay.example,Mei Nwosu,VL-1138,Standard,Active,2026-04-26,2026-09-07,1,Yes,Yes,
ARC-LIC-10070,ines.sinclair@vandelay.example,Ines Sinclair,VL-1053,Standard,Active,2022-04-05,2026-09-07,1,No,Yes,
ARC-LIC-10056,daniel.carvalho@vandelay.example,Daniel Carvalho,VL-1230,Standard,Active,2018-03-01,2026-09-02,6,Yes,Yes,
ARC-LIC-10122,anaya.salazar@vandelay.example,Anaya Salazar,VL-1158,Standard,Active,2018-03-01,2026-09-06,2,Yes,Yes,
ARC-LIC-10088,sofia.ekwueme@vandelay.example,Sofia Ekwueme,VL-1141,Standard,Active,2023-11-18,2026-07-19,51,Yes,Yes,
ARC-LIC-10229,kwame.oyelaran@vandelay.example,Kwame Oyelaran,VL-1215,Standard,Active,2023-11-27,2026-09-05,3,Yes,No,
ARC-LIC-10210,tariq.rowe@vandelay.example,Tariq Rowe,VL-1196,Standard,Active,2021-11-28,2026-09-07,1,Yes,Yes,
ARC-LIC-10144,dalia.mahmoud@vandelay.example,Dalia Mahmoud,VL-1156,Standard,Active,2018-03-01,2026-09-06,2,Yes,Yes,
ARC-LIC-10094,idris.ferreira@vandelay.example,Idris Ferreira,VL-1147,Standard,Active,2021-09-24,2026-09-02,6,Yes,Yes,
ARC-LIC-10113,chloe.okafor@vandelay.example,Chloe Okafor,VL-1072,Standard,Active,2020-12-15,2026-09-06,2,Yes,Yes,
ARC-LIC-10192,malik.blackwood@vandelay.example,Malik Blackwood,VL-1009,Standard,Active,2018-03-01,2026-09-06,2,Yes,Yes,
ARC-LIC-10079,daniel.wozniak@vandelay.example,Daniel Wozniak,VL-1062,Standard,Active,2018-11-04,2026-07-31,39,Yes,No,
ARC-LIC-10003,ruth.osman@vandelay.example,Ruth Osman,VL-1217,Standard,Active,2018-05-06,2026-09-08,0,Yes,No,
ARC-LIC-10041,daniel.ellison@vandelay.example,Daniel Ellison,VL-1164,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10093,victor.whitfield@vandelay.example,Victor Whitfield,VL-1146,Standard,Active,2025-01-19,2026-09-08,0,Yes,Yes,
ARC-LIC-10162,rosa.diallo@vandelay.example,Rosa Diallo,VL-1222,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10035,cormac.abubakar@vandelay.example,Cormac Abubakar,VL-1040,Standard,Active,2018-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10048,sienna.okonkwo@vandelay.example,Sienna Okonkwo,VL-1171,Standard,Active,2018-03-01,2026-09-08,0,Yes,No,
ARC-LIC-10047,kenji.achebe@vandelay.example,Kenji Achebe,VL-1170,Standard,Active,2023-09-14,2026-09-06,2,Yes,Yes,
ARC-LIC-10102,nathan.obi@vandelay.example,Nathan Obi,VL-1184,Standard,Active,2024-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10082,ezra.kessler@vandelay.example,Ezra Kessler,VL-1065,Standard,Active,2026-02-22,2026-07-03,67,No,No,
ARC-LIC-10208,bram.varga@vandelay.example,Bram Varga,VL-1194,Standard,Active,2018-03-01,2026-09-04,4,Yes,Yes,
ARC-LIC-10176,simon.fontaine@vandelay.example,Simon Fontaine,VL-1008,Standard,Active,2018-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10098,ada.bhatt@vandelay.example,Ada Bhatt,VL-1180,Standard,Active,2025-01-19,2026-09-08,0,Yes,Yes,
ARC-LIC-10234,cedric.ashdown@vandelay.example,Cedric Ashdown,VL-0952,Standard,Active,2023-04-11,2025-02-14,571,Yes,No,
ARC-LIC-10166,grace.nolan@vandelay.example,Grace Nolan,VL-1107,Standard,Active,2021-06-16,2026-08-31,8,Yes,Yes,
ARC-LIC-10214,wren.petrov@vandelay.example,Wren Petrov,VL-1200,Standard,Active,2021-09-17,2026-09-05,3,Yes,Yes,
ARC-LIC-10139,felix.brennan@vandelay.example,Felix Brennan,VL-1090,Standard,Active,2018-03-01,2026-07-25,45,Yes,Yes,
ARC-LIC-10164,niamh.thornbury@vandelay.example,Niamh Thornbury,VL-1105,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10235,marisol.vela@vandelay.example,Marisol Vela,VL-0989,Standard,Active,2022-12-25,2025-07-08,427,Yes,No,
ARC-LIC-10163,esme.marchetti@vandelay.example,Esme Marchetti,VL-1007,Standard,Active,2018-03-01,2026-09-04,4,No,No,
ARC-LIC-10057,ines.duarte@vandelay.example,Ines Duarte,VL-1003,Standard,Active,2018-03-01,2026-09-08,0,Yes,No,
ARC-LIC-10092,esme.ramanathan@vandelay.example,Esme Ramanathan,VL-1145,Standard,Active,2024-02-24,2026-09-08,0,Yes,Yes,
ARC-LIC-10183,jasper.thibodeaux@vandelay.example,Jasper Thibodeaux,VL-1122,Standard,Active,2018-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10174,hana.vance@vandelay.example,Hana Vance,VL-1115,Standard,Active,2022-11-06,2026-09-04,4,Yes,Yes,
ARC-LIC-10117,nathan.alvarado@vandelay.example,Nathan Alvarado,VL-1076,Standard,Active,2018-03-01,2026-09-06,2,Yes,No,
ARC-LIC-10105,anaya.petrov@vandelay.example,Anaya Petrov,VL-1228,Standard,Active,2018-12-20,2026-09-07,1,Yes,Yes,
ARC-LIC-10170,grace.pemberton@vandelay.example,Grace Pemberton,VL-1111,Standard,Active,2020-08-11,2026-09-02,6,Yes,Yes,
ARC-LIC-10182,hana.nakamura@vandelay.example,Hana Nakamura,VL-1121,Standard,Active,2026-06-12,2026-07-21,49,Yes,Yes,
ARC-LIC-10215,sofia.pellegrini@vandelay.example,Sofia Pellegrini,VL-1201,Admin,Active,2018-03-01,2026-09-08,0,Yes,No,
ARC-LIC-10018,kenji.karlsson@vandelay.example,Kenji Karlsson,VL-1023,Standard,Active,2025-11-28,2026-09-05,3,Yes,Yes,
ARC-LIC-10054,kenji.diallo@vandelay.example,Kenji Diallo,VL-1218,Standard,Active,2025-08-14,2026-09-02,6,Yes,Yes,
ARC-LIC-10206,tobias.pellegrini@vandelay.example,Tobias Pellegrini,VL-1192,Standard,Active,2018-03-01,2026-09-06,2,Yes,No,
ARC-LIC-10039,maya.adler@vandelay.example,Maya Adler,VL-1153,Standard,Active,2025-12-27,2026-09-07,1,Yes,No,
ARC-LIC-10040,declan.hargreaves@vandelay.example,Declan Hargreaves,VL-1154,Standard,Active,2018-03-01,2026-09-04,4,Yes,No,
ARC-LIC-10129,lina.mbeki@vandelay.example,Lina Mbeki,VL-1005,Standard,Active,2019-09-24,2026-09-04,4,Yes,Yes,
ARC-LIC-10132,nadia.lindgren@vandelay.example,Nadia Lindgren,VL-1083,Standard,Active,2025-06-08,2026-07-08,62,Yes,Yes,
ARC-LIC-10133,zainab.nwosu@vandelay.example,Zainab Nwosu,VL-1084,Standard,Active,2018-03-01,2026-08-15,24,Yes,Yes,
ARC-LIC-10072,omar.ferreira@vandelay.example,Omar Ferreira,VL-1055,Standard,Active,2018-03-01,2026-08-31,8,Yes,Yes,
ARC-LIC-10028,tamar.fontaine@vandelay.example,Tamar Fontaine,VL-1033,Standard,Active,2018-03-01,2026-09-08,0,No,No,
ARC-LIC-10203,rosa.torvik@vandelay.example,Rosa Torvik,VL-1178,Standard,Active,2018-12-26,2026-09-08,0,Yes,Yes,
ARC-LIC-10053,tariq.bergstrom@vandelay.example,Tariq Bergstrom,VL-1176,Standard,Active,2025-02-14,2026-09-05,3,Yes,Yes,
ARC-LIC-10209,reuben.adler@vandelay.example,Reuben Adler,VL-1195,Standard,Active,2024-06-01,2026-08-19,20,Yes,No,
ARC-LIC-10153,sienna.ferrer@vandelay.example,Sienna Ferrer,VL-1099,Standard,Active,2025-10-03,2026-07-02,68,Yes,No,
ARC-LIC-10128,keira.osei@vandelay.example,Keira Osei,VL-1220,Standard,Active,2018-03-01,2026-09-04,4,Yes,Yes,
ARC-LIC-10059,ezra.molnar@vandelay.example,Ezra Molnar,VL-1042,Standard,Active,2019-01-28,2026-09-04,4,Yes,No,
ARC-LIC-10216,lorenzo.fontaine@vandelay.example,Lorenzo Fontaine,VL-1202,Admin,Active,2020-05-13,2026-09-06,2,Yes,No,
ARC-LIC-10084,theo.mireille@vandelay.example,Theo Mireille,VL-1137,Standard,Active,2025-12-22,2026-09-08,0,Yes,Yes,
ARC-LIC-10037,kavya.sinclair@vandelay.example,Kavya Sinclair,VL-1151,Standard,Active,2018-03-01,2026-09-08,0,Yes,No,
ARC-LIC-10051,arjun.okafor@vandelay.example,Arjun Okafor,VL-1174,Standard,Active,2020-03-14,2026-09-08,0,Yes,No,
ARC-LIC-10197,ravi.abubakar@vandelay.example,Ravi Abubakar,VL-1131,Standard,Active,2021-02-05,2026-07-21,49,Yes,Yes,
ARC-LIC-10038,ingrid.larsson@vandelay.example,Ingrid Larsson,VL-1152,Standard,Active,2018-05-17,2026-09-08,0,Yes,Yes,
ARC-LIC-10185,jasper.alvarado@vandelay.example,Jasper Alvarado,VL-1124,Standard,Active,2018-03-01,2026-07-21,49,Yes,No,
ARC-LIC-10151,camille.duarte@vandelay.example,Camille Duarte,VL-1097,Standard,Active,2026-03-02,2026-08-31,8,Yes,Yes,
ARC-LIC-10237,odette.falk@vandelay.example,Odette Falk,VL-0771,Standard,Active,2019-04-13,2025-07-01,434,Yes,Yes,
ARC-LIC-10196,hugo.ekwueme@vandelay.example,Hugo Ekwueme,VL-1130,Standard,Active,2025-07-13,2026-07-31,39,Yes,No,
ARC-LIC-10190,bram.moreau@vandelay.example,Bram Moreau,VL-1163,Standard,Active,2021-05-06,2026-08-31,8,Yes,No,
ARC-LIC-10027,kwame.delgado@vandelay.example,Kwame Delgado,VL-1032,Standard,Active,2018-03-01,2026-08-31,8,Yes,Yes,
ARC-LIC-10200,callum.diallo@vandelay.example,Callum Diallo,VL-1134,Standard,Active,2023-08-22,2026-06-28,72,Yes,Yes,
ARC-LIC-10106,leo.fitzgerald@vandelay.example,Leo Fitzgerald,VL-1004,Standard,Active,2018-03-01,2026-09-05,3,Yes,No,
ARC-LIC-10017,kwame.baptiste@vandelay.example,Kwame Baptiste,VL-1022,Standard,Active,2018-03-01,2026-09-05,3,Yes,No,
ARC-LIC-10148,kavya.okonkwo@vandelay.example,Kavya Okonkwo,VL-1094,Standard,Active,2025-06-27,2026-09-02,6,Yes,No,
ARC-LIC-10110,poppy.thornbury@vandelay.example,Poppy Thornbury,VL-1069,Standard,Active,2022-11-20,2026-09-07,1,Yes,Yes,
ARC-LIC-10239,yusuf.adeyinka@vandelay.example,Yusuf Adeyinka,VL-0835,Standard,Active,2019-03-03,2025-10-24,319,Yes,No,
ARC-LIC-10187,farah.mwangi@vandelay.example,Farah Mwangi,VL-1126,Standard,Active,2018-06-23,2026-08-09,30,Yes,No,
ARC-LIC-10126,diego.ramirez@vandelay.example,Diego Ramirez,VL-1189,Standard,Active,2018-03-01,2026-08-31,8,Yes,Yes,
ARC-LIC-10150,zara.oyelaran@vandelay.example,Zara Oyelaran,VL-1096,Standard,Active,2019-10-15,2026-06-29,71,Yes,Yes,
ARC-LIC-10068,iris.aguilar@vandelay.example,Iris Aguilar,VL-1051,Standard,Active,2018-07-04,2026-08-31,8,Yes,No,
ARC-LIC-10223,emmett.bhatt@vandelay.example,Emmett Bhatt,VL-1209,Standard,Active,2024-01-15,2026-09-07,1,Yes,No,
ARC-LIC-10165,solveig.nakagawa@vandelay.example,Solveig Nakagawa,VL-1106,Standard,Active,2018-03-01,2026-09-06,2,Yes,Yes,
ARC-LIC-10111,caleb.achebe@vandelay.example,Caleb Achebe,VL-1070,Standard,Active,2023-10-03,2026-09-06,2,Yes,Yes,
ARC-LIC-10201,aisha.ekwueme@vandelay.example,Aisha Ekwueme,VL-1135,Standard,Active,2018-05-09,2026-08-02,37,Yes,Yes,
ARC-LIC-10007,zainab.rasmussen@vandelay.example,Zainab Rasmussen,VL-1012,Standard,Active,2018-03-01,2026-08-31,8,Yes,Yes,
ARC-LIC-10044,leo.mbeki@vandelay.example,Leo Mbeki,VL-1167,Standard,Active,2025-01-16,2026-09-06,2,Yes,No,
ARC-LIC-10012,lorenzo.alvarado@vandelay.example,Lorenzo Alvarado,VL-1017,Standard,Active,2018-10-09,2026-09-04,4,Yes,No,
ARC-LIC-10207,leila.alvarado@vandelay.example,Leila Alvarado,VL-1193,Standard,Active,2018-03-01,2026-09-05,3,Yes,No,
ARC-LIC-10217,gabriel.diallo@vandelay.example,Gabriel Diallo,VL-1203,Admin,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10195,dalia.nordin@vandelay.example,Dalia Nordin,VL-1129,Standard,Active,2018-03-01,2026-09-07,1,Yes,Yes,
ARC-LIC-10077,maya.abubakar@vandelay.example,Maya Abubakar,VL-1060,Standard,Active,2018-10-02,2026-09-02,6,Yes,Yes,
ARC-LIC-10233,beatriz.quintero@vandelay.example,Beatriz Quintero,VL-0924,Standard,Active,2023-01-25,2025-05-09,487,Yes,No,
ARC-LIC-10202,victor.petrov@vandelay.example,Victor Petrov,VL-1177,Standard,Active,2019-01-05,2026-09-05,3,Yes,Yes,
ARC-LIC-10194,marcus.ferrante@vandelay.example,Marcus Ferrante,VL-1128,Standard,Active,2025-09-27,2026-07-07,63,Yes,No,
ARC-LIC-10173,marcel.lucero@vandelay.example,Marcel Lucero,VL-1114,Standard,Active,2018-11-06,2026-09-08,0,Yes,No,
ARC-LIC-10086,lorenzo.nwosu@vandelay.example,Lorenzo Nwosu,VL-1139,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10221,marcus.larsson@vandelay.example,Marcus Larsson,VL-1207,Admin,Active,2019-07-28,2026-09-06,2,Yes,No,
ARC-LIC-10034,ruth.ferrer@vandelay.example,Ruth Ferrer,VL-1039,Standard,Active,2018-03-01,2026-07-09,61,Yes,Yes,
ARC-LIC-10074,mei.whitfield@vandelay.example,Mei Whitfield,VL-1057,Standard,Active,2018-03-01,2026-09-06,2,Yes,Yes,
ARC-LIC-10090,ruth.okoro@vandelay.example,Ruth Okoro,VL-1143,Standard,Active,2025-07-17,2026-09-07,1,Yes,No,
ARC-LIC-10123,wren.nwosu@vandelay.example,Wren Nwosu,VL-1159,Standard,Active,2025-04-03,2026-08-31,8,Yes,Yes,
ARC-LIC-10156,tariq.beaumont@vandelay.example,Tariq Beaumont,VL-1102,Standard,Active,2021-10-23,2026-09-07,1,Yes,Yes,
ARC-LIC-10137,solveig.duarte@vandelay.example,Solveig Duarte,VL-1088,Standard,Active,2025-03-09,2026-09-04,4,No,Yes,
ARC-LIC-10205,theo.sinclair@vandelay.example,Theo Sinclair,VL-1191,Standard,Active,2018-08-07,2026-09-07,1,Yes,No,
ARC-LIC-10031,simon.karlsson@vandelay.example,Simon Karlsson,VL-1036,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10001,simon.rasmussen@vandelay.example,Simon Rasmussen,VL-1001,Standard,Active,2018-03-01,2026-09-05,3,Yes,No,
ARC-LIC-10083,ada.paredes@vandelay.example,Ada Paredes,VL-1136,Standard,Active,2018-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10096,reuben.mireille@vandelay.example,Reuben Mireille,VL-1149,Standard,Active,2023-09-03,2026-09-08,0,Yes,Yes,
ARC-LIC-10015,miles.wentworth@vandelay.example,Miles Wentworth,VL-1020,Standard,Active,2026-03-15,2026-08-31,8,Yes,No,
ARC-LIC-10073,tessa.voss@vandelay.example,Tessa Voss,VL-1056,Standard,Active,2018-03-01,2026-08-31,8,Yes,Yes,
ARC-LIC-10160,felix.ellison@vandelay.example,Felix Ellison,VL-1186,Standard,Active,2018-03-01,2026-08-31,8,Yes,No,
ARC-LIC-10212,ezra.hartmann@vandelay.example,Ezra Hartmann,VL-1198,Standard,Active,2018-03-01,2026-09-02,6,Yes,Yes,
